GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe
48257,"Kaufman County, Texas",89485,5546,16548,2406,170891,251,0.09683365420063081,0.014078431467406576
48277,"Lamar County, Texas",61880,4398,9460,1138,49872,138,0.1896855951235162,0.022812377668516716
48005,"Angelina County, Texas",60960,3197,13351,1625,84720,205,0.15758970727101038,0.01917704011886194
48507,"Zavala County, Texas",36749,5834,3174,892,9357,4,0.33921128566848346,0.09532958940179756
48401,"Rusk County, Texas",68658,4537,6899,1056,47865,120,0.14413454507468923,0.02205909003154065
48003,"Andrews County, Texas",72242,9282,2872,862,18419,17,0.15592594603398666,0.04679927924077887
48395,"Robertson County, Texas",72236,7168,2291,465,16957,8,0.13510644571563366,0.027422229393533355
48371,"Pecos County, Texas",72750,12336,2741,962,12708,115,0.21569090336795718,0.07567517820607284
48051,"Burleson County, Texas",70000,8319,2367,538,18650,50,0.12691689008042895,0.028845178192330442
48239,"Jackson County, Texas",65414,3937,2101,612,14951,8,0.1405257173433215,0.0409336477460571
48351,"Newton County, Texas",42618,5785,2260,490,11921,54,0.18958141095545675,0.04109496226688656
48103,"Crane County, Texas",62212,14766,485,360,4454,73,0.10889088459811405,0.08080651759518012
48237,"Jack County, Texas",68079,9113,1011,299,7806,29,0.12951575710991545,0.03830084658117808
48327,"Menard County, Texas",53043,18990,360,173,1909,9,0.1885804085908853,0.09061900181142944
48053,"Burnet County, Texas",78732,5425,4099,596,51473,136,0.0796339828648029,0.011576974163529652
48463,"Uvalde County, Texas",53801,6171,5324,1222,24010,84,0.22174094127446897,0.05088954757436716
48311,"McMullen County, Texas",43875,13683,86,94,700,280,0.12285714285714286,0.12497052713764643
48187,"Guadalupe County, Texas",92375,3124,16914,2064,181649,99,0.09311364224410815,0.011362459548861777
48203,"Harrison County, Texas",66103,3000,10574,1280,67667,489,0.156265240072709,0.01888242546207186
48391,"Refugio County, Texas",60181,5864,958,292,6550,17,0.14625954198473282,0.04457853645358023
48057,"Calhoun County, Texas",79959,8800,1503,531,19612,12,0.07663675300836223,0.02707521943883326
48133,"Eastland County, Texas",53549,6005,2780,472,17155,26,0.16205187991839115,0.02751274813252892
48155,"Foard County, Texas",61563,25735,52,42,933,168,0.055734190782422297,0.043883153440778276
48073,"Cherokee County, Texas",61261,4398,8839,1245,48681,128,0.18156981163082106,0.025570203096931872
48063,"Camp County, Texas",58843,6940,2535,551,12727,9,0.19918283963227784,0.0432935557366004
48141,"El Paso County, Texas",59806,1141,160597,5237,856719,507,0.18745586359121252,0.006111849443700109
48001,"Anderson County, Texas",62068,4521,8373,1207,48218,210,0.17364884482973164,0.02502071859704096
48199,"Hardin County, Texas",75808,5192,6902,1147,57095,114,0.12088624222786584,0.020087874743956565
48243,"Jeff Davis County, Texas",59286,31477,442,244,1850,341,0.23891891891891892,0.12432246638915448
48329,"Midland County, Texas",92874,5211,19655,2733,173205,344,0.11347824831846656,0.015777380553612285
48323,"Maverick County, Texas",49568,4673,13119,1942,57580,136,0.22783952761375478,0.033722695025280296
48503,"Young County, Texas",68010,9174,2934,682,17779,9,0.16502615445188143,0.03835977179546814
48043,"Brewster County, Texas",56212,9462,808,240,9051,22,0.08927190365705447,0.02651551916698791
48333,"Mills County, Texas",67620,10934,311,100,4320,40,0.07199074074074074,0.02313854862666763
48215,"Hidalgo County, Texas",54338,1156,235512,8160,883207,528,0.26665549525762366,0.009237681841587096
48481,"Wharton County, Texas",66924,3866,5589,1027,41070,119,0.13608473338203067,0.025002978212128737
48169,"Garza County, Texas",46314,16002,315,151,3741,225,0.08420208500400962,0.04004457975842301
48135,"Ector County, Texas",71536,3707,26727,3012,162467,351,0.16450725378076778,0.01853574247322481
